Description,Designator,Library Part Name,Quantity,Supplier,Part Number
MOSFET N-CH 70V 3.8A SOT-223,Q2,NFET_ZXMN7A11GCT,1,Digikey,ZXMN7A11GCT-ND
CONN USB RECEPTACLE 5POS RT ANG,H1,CONN_USBMINIB_54819-0519,1,Digikey,WM17115-ND
RES 110K OHM 1/8W 1% 0805 SMD,"R10, R11, R14, R15",RHM110KCRCT-ND,4,Digikey,RHM110KCRCT-ND
RES 33 OHM 1/10W 3900PPM 5% 0805,R7,P33CECT-ND,1,Digikey,P33CECT-ND
RES 10K OHM 1/10W 1500PPM 5%0805,"R1, R2, R5, R9, R28, R29, R30, R31, R32, R33, R34, R35",P10KCBCT-ND,12,Digikey,P10KCBCT-ND
IC OPAMP CMOS LOW-PWR MTP5,U2,OP_NJU7011F-TE1,1,Digikey,NJU7011F-TE1CT-ND
DIODE ZENER 5.1V 200MW SOD-523F,"D1, D2, D3",ZENER_MM5Z5V1,3,Digikey,MM5Z5V1CT-ND
IC CONTROLLR LI-ION 4.2V SOT23-5,U8,LIION_MCP73837/8,1,Digikey,MCP73831T-2DCI/OTCT-ND
IC RECT BRIDGE 0.5A 600V 4SOIC,D7,BRIDGE_MB6S,1,Digikey,MB6SCT-ND
MOSFET P-CH 20V 2.6A SOT23,"Q1, Q3, Q4",PFET_IRLML2246TRPBF,3,Digikey,IRLML2246TRPBFCT-ND
SWITCH DIP LOW PRO 1 POS GOLD,SW1,SWITCH_KAJ01SGGT,1,Digikey,EG4416-ND
3.5mm Audio Jack,J3,3.5mm Audio,1,Digikey,CP1-3533NS-ND
IC MCU AVR 32K FLASH 32TQFP,U6,MCU_ATMEGA328,1,Digikey,ATMEGA328-AU-ND
3.3v LDO up to 300 mA,U1,ADP122,1,Digikey,ADP122AUJZ-3.3-R7CT-ND
CONN SD CARD PUSH-PULL SMD,D9,SDCARD_2041021-4,1,Digikey,A101492CT-ND
8MHz  18pF 10ppm,X1,XTAL_8MHz-49US,1,Digikey,887-1233-ND
RES 1.0K OHM 1/8W 5% 0805 SMD,"R26, R27",541-1.0KACT-ND,2,Digikey,541-1.0KACT-ND
CAP ALUM 100UF 35V 20% SMD,C1,AUTO_CAP_ALUM_100UF_35V_20%_SMD,1,Digikey,493-4471-1-ND
CAP CER 1UF 16V 10% X7R 0805,"C3, C4, C5",CAP CER 1UF 16V 10% X7R 0805,3,Digikey,490-1691-1-ND
CAP CER 0.1UF 25V 10% X7R 0805,"C2, C9, C10, C11, C12, C13",CAP CER 0.1UF 25V 10% X7R 0805,6,Digikey,478-3755-1-ND
CAP CER 10UF 6.3V 10% X5R 0805,"C6, C15, C16, C17",CAP CER 10UF 6.3V 10% X5R 0805,4,Digikey,478-1417-1-ND
CAP CER 4.7UF 6.3V 10% X5R 0805,C7,CAP CER 4.7UF 6.3V 10% X5R 0805,1,Digikey,478-1416-1-ND
CAP CER 18PF 50V 5% NP0 0805,"C8, C14",CAP CER 18PF 50V 5% NP0 0805,2,Digikey,478-1307-1-ND
LED CHIPLED 570NM GREEN 0603 SMD,"D5, D6, D8",LED_LG Q971-KN-1,3,Digikey,475-1409-1-ND
FERRITE CHIP 1500 OHM 500MA 0805,B1,FB_MMZ2012Y152B,1,Digikey,445-1560-1-ND
,C5,CAP CER 0.1UF 16V 10% X7R 0805,1,Digikey,399-1167-1-ND
CONN SMCARD SIMLOCK W/ALIGN PINS,J4,SIM_C707_10M006_0492,1,Digikey,361-1021-1-ND
RES 470K OHM 1/8W 5% 0805 SMD,"R4, R6",311-470KARCT-ND,2,Digikey,311-470KARCT-ND
RES 220 OHM 1/8W 5% 0805 SMD,"R22, R25",311-220ARCT-ND,2,Digikey,311-220ARCT-ND
RES 160 OHM 1/8W 5% 0805 SMD,R8,311-160ARCT-ND,1,Digikey,311-160ARCT-ND
RES 100K OHM 1/8W 5% 0805 SMD,R12,311-100KARCT-ND,1,Digikey,311-100KARCT-ND
RES 75 OHM 1/8W 5% 0805 SMD,"R17, R18, R19, R20, R21, R23, R24",311-75ARCT-ND,7,Digikey,311-75ARCT-ND
RES 8.20K OHM 1/8W 1% 0805 SMD,R16,311-8.20KCRCT-ND,1,Digikey,311-8.20KCRCT-ND
RES 2.0K OHM 1/8W 5% 0805 SMD,R3,311-2.0KARCT-ND,1,Digikey,311-2.0KARCT-ND
RES 1.0 OHM 1/8W 5% 0805 SMD,R13,311-1.0ARCT-ND,1,Digikey,311-1.0ARCT-ND
"LED 7-SEG .40 2DGT SUPER RED CA""",D4,7SEG_2DIG_LTD-4608JR,1,Digikey,160-1538-5-ND
IC USB FS SERIAL UART 28-SSOP,U3,USB->SERIAL,1,Digikey, 768-1007-1-N
 Polymer Li-Ion Cell:3.7V 210mAh ,J5,LITHIUM_BATTERY,,Batteryspace,PL-651628-2C
Quad-band cellular antenna,,,1,Sparkfun,CEL-00675
 SM5100B-D GSM/GPRS Module,J6,GSM MODULE,,Sparkfun,CEL-09533
AVR Programming Header,None,CONN HEADER 6POS .100 STR 15A,1,Digikey,609-3210-ND
3D Printed Case Upper,None,,1,Shapeways,N/A
3D Printed Case Lower,None,,1,Shapeways,N/A
3D Printed Case High Voltage Cover,None,,1,Shapeways,N/A
USB Charger,None,,1,Any Supplier,
Power Cable,None,,1,Dumpster,
"Tri-P Phillips Thread-Forming Screw for Plastic, Black-Finish Zinc-Plated Steel, 4-20",None,,4,Mcmaster-Carr,92295A106
"Metric Nylon Fluted-Rim Knob, M4 X .7 Threaded Insert, 16 mm Diameter",None,,2,Mcmaster-Carr,62935K15
"Metric Pan Head Phillips Machine Screw, Zinc-Plated Steel, M3 Size, 5MM Length, .5MM Pitch",None,,4,Mcmaster-Carr,92005A114
"Metric Brass Pan Head Slotted Machine Screw, M4 Size, 6MM Length, 0.7MM Pitch, Packs of 25",None,,2,Mcmaster-Carr,90928A327
"Metric Brass Threaded Insert for Thermoplastc, Tapered, M3-.5 Internal Thread, 3.8MM Length,",None,,4,Mcmaster-Carr,94180A331
Current Clamp,None,,1,Epictinker,SCT-013